epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1577,1.14755,22.1971,0.31612,0,0,0,0,2.62179,4.2159,0.7572,0.000654545,0.000654545,0.000654545
2,140.313,1.27635,18.9526,0.30136,0.00333,0.14286,0.00049,0.00011,2.4228,3.99246,0.75476,0.00129505,0.00129505,0.00129505
3,246.009,0.89706,17.2073,0.20589,0.01667,0.71429,0.01553,0.0045,3.06376,3.69949,0.77433,0.00190916,0.00190916,0.00190916
4,361.217,1.12422,14.6728,0.25351,0.01678,0.71429,0.03203,0.00765,3.14457,3.41156,0.81502,0.0018812,0.0018812,0.0018812
5,481.03,1.62103,11.9308,0.36671,0.01923,0.7619,0.2506,0.06227,3.20521,2.89005,0.77687,0.0018416,0.0018416,0.0018416
6,600.006,1.3694,11.7401,0.31898,0.02111,0.90476,0.03664,0.00967,2.82446,3.41283,0.75969,0.001802,0.001802,0.001802
7,724.462,0.96189,11.1101,0.2059,0.01556,0.66667,0.02233,0.00434,3.33403,3.37516,0.82616,0.0017624,0.0017624,0.0017624
8,850.408,0.89751,9.15782,0.24415,0.02,0.85714,0.13322,0.04771,2.71126,3.18913,0.74499,0.0017228,0.0017228,0.0017228
9,975.082,1.19212,8.41785,0.28543,0.0367,0.7619,0.30878,0.10181,2.56596,3.17218,0.75251,0.0016832,0.0016832,0.0016832
10,1097.47,1.3584,7.55834,0.31601,0.04317,0.85714,0.50039,0.16193,2.72679,2.87007,0.78133,0.0016436,0.0016436,0.0016436
11,1219.63,1.0429,7.11405,0.24835,0.04557,0.85714,0.52562,0.18416,2.62878,2.90621,0.78876,0.001604,0.001604,0.001604
12,1349.52,0.96647,6.15646,0.23782,0.04106,0.80952,0.55908,0.16259,2.49754,2.8677,0.78098,0.0015644,0.0015644,0.0015644
13,1483.83,1.24655,5.54727,0.31566,0.02979,0.66667,0.23667,0.06345,2.97296,2.62872,0.74908,0.0015248,0.0015248,0.0015248
14,1611.3,1.09373,5.37455,0.27366,0.0491,0.90476,0.56082,0.20322,2.33286,3.02264,0.72667,0.0014852,0.0014852,0.0014852
15,1740.24,1.2498,4.81719,0.35893,0.04016,0.95238,0.57464,0.16621,2.56322,2.67877,0.72009,0.0014456,0.0014456,0.0014456
16,1865.73,0.86502,4.60719,0.24379,0.03407,0.80952,0.45061,0.1482,2.55864,2.77271,0.73028,0.001406,0.001406,0.001406
17,1994.46,0.83834,4.28233,0.21715,0.03505,0.80952,0.639,0.2553,2.3033,2.91245,0.76043,0.0013664,0.0013664,0.0013664
18,2123.05,1.40701,4.12547,0.34563,0.03373,0.80952,0.6561,0.23163,2.50711,2.94368,0.75235,0.0013268,0.0013268,0.0013268
19,2252.52,1.19804,3.60389,0.30393,0.03469,0.80952,0.70505,0.26798,2.25303,2.84063,0.7396,0.0012872,0.0012872,0.0012872
20,2378.3,1.05983,3.35622,0.2684,0.03666,0.85714,0.72979,0.35185,2.05899,2.76639,0.73849,0.0012476,0.0012476,0.0012476
21,2505.83,1.09375,3.40582,0.28875,0.03681,0.85714,0.64825,0.27957,2.20191,2.75499,0.727,0.001208,0.001208,0.001208
22,2637.53,1.36354,3.20209,0.36302,0.0346,0.95238,0.64228,0.23988,2.22191,2.43755,0.7111,0.0011684,0.0011684,0.0011684
23,2765.64,1.09797,3.08091,0.32284,0.03643,0.95238,0.63762,0.23547,2.36781,2.47042,0.75045,0.0011288,0.0011288,0.0011288
24,2886.23,1.18792,3.04164,0.28879,0.03086,0.71429,0.63943,0.21798,2.19303,3.15253,0.73025,0.0010892,0.0010892,0.0010892
25,3011.85,1.05287,2.90881,0.31694,0.03486,0.7619,0.64062,0.26888,2.25161,2.92399,0.71846,0.0010496,0.0010496,0.0010496
26,3143.1,0.89176,2.65163,0.24919,0.05602,0.95238,0.65996,0.2569,1.97608,2.50836,0.70914,0.00101,0.00101,0.00101
27,3263.06,0.94815,2.5637,0.25525,0.10526,0.95238,0.54332,0.22008,2.08202,2.65866,0.7068,0.0009704,0.0009704,0.0009704
28,3388.77,1.09611,2.63703,0.292,0.19792,0.90476,0.54951,0.20121,2.41714,2.81368,0.72027,0.0009308,0.0009308,0.0009308
29,3512.3,1.01148,2.53461,0.30423,0.37255,0.90476,0.62265,0.24408,2.38197,2.8131,0.74845,0.0008912,0.0008912,0.0008912
30,3632.82,0.82338,2.35354,0.23169,0.4359,0.80952,0.5783,0.19495,2.59431,2.90953,0.74582,0.0008516,0.0008516,0.0008516
31,3753.83,1.03093,2.43371,0.28834,0.36364,0.95238,0.7258,0.28297,2.13275,2.56958,0.70988,0.000812,0.000812,0.000812
32,3874.73,0.78222,2.1755,0.2489,0.26027,0.90476,0.57708,0.25814,2.00529,2.44398,0.70421,0.0007724,0.0007724,0.0007724
33,3991.05,0.7238,2.19493,0.24044,0.32787,0.95238,0.74833,0.30935,2.02228,2.41136,0.71732,0.0007328,0.0007328,0.0007328
34,4114.47,0.9202,2.36213,0.30444,0.44186,0.90476,0.77057,0.35425,1.98807,2.53553,0.73107,0.0006932,0.0006932,0.0006932
35,4235.1,0.935,2.22677,0.27392,0.32759,0.90476,0.76725,0.34699,2.01836,2.38509,0.72481,0.0006536,0.0006536,0.0006536
36,4361.81,1.09257,2.30598,0.32304,0.29851,0.95238,0.79473,0.30003,2.03722,2.33044,0.71219,0.000614,0.000614,0.000614
37,4481.11,0.88919,2.05447,0.25136,0.38776,0.90476,0.79107,0.34242,1.9491,2.51281,0.71931,0.0005744,0.0005744,0.0005744
38,4607.22,0.86301,2.00936,0.24493,0.475,0.90476,0.80058,0.37931,1.94471,2.59757,0.72853,0.0005348,0.0005348,0.0005348
