epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4545,2.8159,4.03725,0.92452,0.00301,0.175,0.00176,0.00031,2.58655,4.28954,0.83978,0.0006,0.0006,0.0006
2,89.9098,2.67486,2.61175,0.84076,0.01484,0.8625,0.05692,0.02036,2.30691,3.6511,0.81504,0.00120792,0.00120792,0.00120792
3,131.523,2.8368,2.40306,0.81286,0.65746,0.60625,0.59481,0.1868,2.44253,2.9312,0.82637,0.00180357,0.00180357,0.00180357
4,172.533,2.68571,2.1539,0.85463,0.88032,0.65625,0.81725,0.27565,2.35688,2.26362,0.82793,0.0019406,0.0019406,0.0019406
5,236.268,2.53364,2.05337,0.81954,0.87145,0.7875,0.81153,0.3055,2.19853,1.65432,0.8209,0.0019208,0.0019208,0.0019208
6,306.929,2.40908,1.95743,0.82942,0.88047,0.80625,0.83901,0.33125,2.14187,1.55979,0.81533,0.001901,0.001901,0.001901
7,381.203,2.50319,1.8659,0.81485,0.89376,0.79375,0.80558,0.27368,2.37142,1.87024,0.83104,0.0018812,0.0018812,0.0018812
8,467.659,2.33004,1.87898,0.83905,0.84942,0.78125,0.80908,0.25902,2.43136,1.63917,0.84511,0.0018614,0.0018614,0.0018614
9,546.232,2.33436,1.72251,0.81013,0.82169,0.7625,0.78914,0.30103,2.2196,1.52355,0.83004,0.0018416,0.0018416,0.0018416
10,624.613,2.14642,1.55171,0.80454,0.92208,0.7875,0.86848,0.34113,2.09938,1.40129,0.81742,0.0018218,0.0018218,0.0018218
11,706.981,2.19743,1.54013,0.80824,0.89673,0.79375,0.83655,0.34758,2.10492,1.36808,0.82172,0.001802,0.001802,0.001802
12,787.616,2.21666,1.47866,0.79016,0.90668,0.78944,0.85792,0.38102,1.99956,1.43286,0.80882,0.0017822,0.0017822,0.0017822
13,864.982,2.21838,1.44804,0.81352,0.85326,0.825,0.80788,0.33295,2.14381,1.43873,0.82102,0.0017624,0.0017624,0.0017624
14,943.306,2.22921,1.47618,0.7909,0.87079,0.86875,0.88455,0.34392,2.09941,1.30397,0.80518,0.0017426,0.0017426,0.0017426
15,1022.35,2.13421,1.36012,0.79398,0.84978,0.78125,0.78543,0.30505,2.26944,1.33977,0.8333,0.0017228,0.0017228,0.0017228
16,1103.16,2.20108,1.32062,0.77913,0.9462,0.87933,0.90381,0.37607,2.01858,1.50071,0.80228,0.001703,0.001703,0.001703
17,1184.55,2.20873,1.38208,0.79294,0.88941,0.84375,0.8505,0.35275,2.15054,1.35876,0.82936,0.0016832,0.0016832,0.0016832
18,1263.72,2.12087,1.2459,0.7762,0.94629,0.84375,0.90558,0.36262,2.03168,1.23991,0.80213,0.0016634,0.0016634,0.0016634
19,1344.92,2.07433,1.22766,0.78103,0.94294,0.825,0.90247,0.38843,1.99181,1.17342,0.80098,0.0016436,0.0016436,0.0016436
20,1426.04,2.15209,1.16901,0.77664,0.90851,0.86893,0.92866,0.39946,1.94249,1.13639,0.79859,0.0016238,0.0016238,0.0016238
21,1507.3,2.16016,1.18388,0.7667,0.94988,0.81875,0.91659,0.4079,1.92384,1.13341,0.80576,0.001604,0.001604,0.001604
22,1583.76,1.94729,1.08794,0.7864,0.93394,0.85625,0.89876,0.42683,1.94218,1.12574,0.81131,0.0015842,0.0015842,0.0015842
23,1664.09,1.9409,1.13023,0.78174,0.94687,0.875,0.90733,0.41768,1.92859,1.06739,0.80521,0.0015644,0.0015644,0.0015644
24,1750.87,2.01806,1.08941,0.77152,0.95088,0.84696,0.89212,0.41559,1.94161,1.05489,0.80998,0.0015446,0.0015446,0.0015446
25,1835.59,2.04156,1.10556,0.78902,0.92979,0.82764,0.84588,0.34743,2.20726,1.09632,0.82371,0.0015248,0.0015248,0.0015248
26,1913.24,2.0618,1.03926,0.78179,0.93963,0.9,0.91837,0.39179,2.07883,1.01056,0.80842,0.001505,0.001505,0.001505
